hour,small_part,med_part,sulf_diox,nitr_diox,trioxygen,temp,pres,rain,wind,wind_sp,date,carb_monox
14,59.0,59.0,35.0,35.0,38.0,10.5,1007.8,0.0,WNW,2.2,24-Jan-2015,800.0
13,162.0,162.0,3.0,75.0,113.0,29.0,995.2,0.0,ENE,0.7,16-Jun-2015,1000.0
3,185.0,269.0,39.0,80.0,13.0,-1.0,1011.0,0.0,NE,1.4,24-Feb-2016,2700.0
17,34.0,53.0,19.0,27.0,64.0,6.0,1019.0,0.0,W,5.0,3-Feb-2016,600.0
13,131.0,145.0,48.0,55.0,93.0,16.6,1009.4,0.0,SSW,3.3,2-Apr-2014,1600.0
1,136.0,170.0,2.0,126.0,20.0,15.0,1005.5,0.0,N,1.5,1-Oct-2017,1400.0
9,36.0,54.0,3.0,40.0,67.0,27.1,1007.4,0.0,ENE,0.9,9-Aug-2016,800.0
4,211.0,211.0,7.0,98.0,6.0,4.7,1013.8,0.0,ESE,0.4,10-Nov-2017,3200.0
18,31.0,84.0,2.0,20.0,274.0,34.0,994.7,0.0,SE,1.7,16-Aug-2016,600.0
15,158.0,158.0,43.0,82.0,35.0,2.7,1020.0,0.0,SW,1.3,25-Jan-2018,2400.0
15,19.0,23.0,10.0,5.0,87.0,10.6,1010.6,0.0,WNW,5.3,8-Feb-2017,400.0
13,70.0,81.0,4.0,20.0,173.0,28.8,998.1,0.0,S,1.4,17-Jul-2017,1100.0
14,86.0,103.0,47.0,61.0,25.0,3.0,1019.0,0.0,SW,1.7,24-Jan-2016,2000.0
5,,,,,,1.3,1018.0,0.0,NE,2.3,24-Dec-2015,1222.923
4,38.0,107.0,8.0,63.0,3.0,0.8,1020.7,0.0,N,0.9,23-Mar-2016,1100.0
3,273.0,254.0,27.0,23.0,114.0,17.2,1006.2,0.0,NNE,0.5,6-May-2014,1899.0
18,47.0,96.0,5.0,108.0,12.0,14.7,1011.3,0.0,NNE,1.1,2-Nov-2016,700.0
20,157.0,205.0,35.0,149.0,12.0,11.4,1005.1,0.0,N,1.8,2-Mar-2017,2300.0
19,385.0,388.0,67.0,127.0,3.0,7.3,1014.6,0.0,NE,1.5,4-Mar-2017,6100.0
9,32.0,45.0,15.0,50.0,6.0,-4.4,1024.9,0.0,SSE,1.2,17-Dec-2016,1300.0
11,18.0,39.0,5.0,11.0,104.0,25.7,1012.7,0.0,NNW,3.5,20-May-2016,200.0
0,100.0,161.0,58.0,85.0,2.0,-5.0,1021.0,0.0,NW,0.7,7-Jan-2016,2200.0
21,60.0,161.0,36.0,97.0,13.0,18.3,1002.5,0.0,WSW,2.2,12-Apr-2014,800.0
8,13.0,13.0,2.0,54.0,53.0,15.7,992.6,0.0,NW,3.6,12-May-2016,500.0
2,31.0,31.0,11.0,60.0,16.0,-4.1,1034.4,0.0,ESE,2.0,27-Dec-2016,1000.0
21,121.0,275.0,54.0,80.0,8.0,5.1,1011.8,0.0,SSE,1.0,6-Mar-2017,2200.0
23,218.0,234.0,26.0,34.0,184.0,26.3,997.1,0.0,ENE,1.2,15-Jun-2014,1899.0
20,20.0,20.0,3.0,49.0,111.0,24.3,1002.1,0.0,W,0.6,6-Aug-2015,300.0
9,13.0,22.0,16.0,59.0,8.0,-2.0,1029.0,0.0,ENE,1.9,2-Jan-2016,700.0
12,148.0,177.0,45.0,105.0,3.0,-1.4,1020.0,0.0,SSW,1.5,30-Dec-2017,3700.0
17,147.0,245.0,9.0,86.0,31.0,12.8,1015.1,0.0,SE,1.7,19-Nov-2017,1700.0
23,13.0,24.0,21.0,17.0,72.0,0.9,1027.0,0.0,NNE,2.6,4-Feb-2017,600.0
5,99.0,99.0,3.0,85.0,2.0,16.5,1003.3,0.0,NNW,1.5,21-Sep-2016,1100.0
15,8.0,8.0,2.0,3.0,76.0,22.4,1011.5,0.0,NE,3.5,29-Sep-2015,200.0
3,17.0,29.0,2.0,37.0,29.0,22.6,1006.5,0.0,NNE,1.5,25-Aug-2016,500.0
18,72.0,79.0,29.0,81.0,25.0,-0.7,1025.8,0.0,SE,0.0,28-Jan-2017,1500.0
1,109.0,110.0,8.0,82.0,3.4272,4.5,1018.3,0.0,NE,0.4,31-Oct-2014,1300.0
6,56.0,154.0,7.0,98.0,2.0,11.3,1007.5,0.0,NW,1.5,25-Apr-2016,1100.0
12,9.0,6.0,13.0,14.0,57.0,-0.9,1021.0,0.0,W,6.2,9-Jan-2015,300.0
6,85.0,106.0,27.0,77.0,17.0,-4.0,1010.0,0.0,ENE,1.2,13-Feb-2016,2400.0
16,56.0,67.0,8.0,61.0,68.0,17.3,1022.0,0.0,SW,1.9,24-Oct-2016,1500.0
7,24.0,24.0,5.0,65.0,18.0,10.6,1025.7,0.0,SE,1.3,25-Oct-2016,600.0
9,11.0,40.0,24.0,34.0,66.0,32.7,997.6,0.0,N,2.4,28-Jun-2015,400.0
12,327.0,327.0,2.0,141.0,11.0,-1.3,1026.3,0.0,E,1.5,28-Nov-2016,5000.0
10,184.0,225.0,11.0,91.0,5.7834,10.9,1014.3,0.0,ESE,0.8,2-Nov-2014,2200.0
22,92.0,92.0,4.0,50.0,66.0,22.6,1000.0,0.0,SSE,0.0,19-Jun-2015,900.0
3,221.0,221.0,56.0,105.0,12.0,1.5,1014.5,0.0,NE,1.1,8-Mar-2016,2300.0
17,144.0,191.0,19.0,134.0,1.2852,9.6,1021.1,0.0,WSW,1.1,31-Oct-2014,1500.0
9,88.0,100.0,51.0,61.0,8.0,-2.0,1009.0,0.0,NNW,1.1,13-Feb-2016,2200.0
3,149.0,61.0,11.0,28.0,,24.0,994.9,0.1,NE,0.7,1-Jul-2014,1222.923
6,9.0,18.0,7.0,16.0,71.0,6.1,1013.7,0.0,NNW,6.0,9-Apr-2014,400.0
1,54.0,140.0,13.0,62.0,30.0,10.4,1003.4,0.0,N,0.6,31-Mar-2017,1000.0
6,244.0,244.0,2.0,43.0,30.0,23.9,996.1,0.0,W,0.6,3-Jul-2015,1500.0
17,76.0,118.0,9.0,22.0,182.0,28.3,1003.0,0.0,WSW,3.0,5-Sep-2015,700.0
5,216.0,213.0,82.0,130.0,4.0,-6.3,1018.8,0.0,NNW,1.5,25-Dec-2014,1000.0
12,41.0,41.0,17.0,55.0,19.0,13.5,1016.0,0.0,W,1.6,10-Nov-2015,800.0
1,49.0,98.0,23.0,39.0,36.0,5.0,1002.8,0.0,NNW,1.5,15-Mar-2015,800.0
21,17.0,349.0,2.0,3.0,62.0,9.4,1019.0,0.0,WNW,9.2,11-Nov-2015,200.0
15,4.0,40.0,4.0,40.0,61.0,5.1,1021.5,0.0,WNW,5.3,9-Mar-2017,500.0
11,30.0,32.0,16.0,35.0,23.561999999999998,2.6,1022.7,0.0,ENE,3.2,14-Dec-2014,900.0
12,107.0,159.0,15.0,89.0,12.0,15.6,1017.8,0.0,S,1.1,29-Oct-2015,1100.0
12,32.0,32.0,2.0,10.0,98.0,22.1,1007.3,0.0,WNW,3.2,6-May-2017,200.0
0,71.0,154.0,11.0,36.0,146.0,26.0,1001.5,0.0,SW,3.3,27-May-2016,700.0
2,245.0,313.0,47.0,118.0,2.0,-2.9,1022.0,0.0,NE,0.9,9-Dec-2015,5300.0
3,30.0,31.0,22.0,49.0,6.0,-4.0,1023.0,0.0,N,0.6,28-Jan-2016,900.0
23,,153.0,39.0,50.0,71.0,19.9,1005.2,0.0,SW,2.4,29-Apr-2015,1200.0
6,145.0,145.0,2.0,25.0,108.0,27.9,993.2,0.0,S,1.5,3-Aug-2015,1100.0
8,11.0,22.0,9.0,25.0,58.0,-2.9,1027.4,0.0,NNW,2.5,5-Feb-2017,500.0
13,181.0,181.0,2.0,90.0,20.0,22.7,1005.8,0.0,NNW,1.4,25-Sep-2017,1600.0
20,190.0,208.0,78.0,100.0,1.0,-0.9,1007.2,0.0,ENE,1.2,29-Jan-2015,2600.0
18,192.0,242.0,76.0,156.0,2.0,3.0,1008.0,0.0,S,1.0,4-Jan-2016,3400.0
4,21.0,22.0,2.0,38.0,25.0,20.3,996.1,0.0,NE,0.4,6-Aug-2016,300.0
9,34.0,19.0,4.0,46.0,2.0,23.1,994.5,3.3,NE,0.5,15-Jul-2014,1500.0
2,24.0,43.0,2.0,41.0,33.0,15.0,1010.3,0.0,NW,1.4,21-Sep-2017,600.0
12,65.0,124.0,33.0,60.0,118.0,28.7,1004.5,0.0,S,1.9,25-May-2014,800.0
14,11.0,17.0,8.0,16.0,92.0,26.2,1003.5,0.0,SSE,1.4,5-Sep-2014,400.0
22,229.0,280.0,17.0,69.0,2.0,6.5,1009.7,0.0,NE,2.0,31-Mar-2014,1700.0
18,128.0,239.0,63.0,61.0,93.0,13.8,1006.3,0.0,SSE,1.8,16-Mar-2015,1300.0
10,116.0,116.0,24.0,63.0,77.0,19.9,1010.1,0.0,WSW,2.3,8-May-2015,1100.0
23,120.0,162.0,14.0,96.0,1.0,6.6,1019.6,0.0,WSW,0.2,16-Oct-2014,1200.0
6,22.0,51.0,3.0,46.0,2.0,11.3,1019.8,0.0,SSE,1.9,30-Sep-2015,700.0
5,19.0,39.0,1.0,28.0,66.0,21.2,1000.0,0.0,N,0.7,25-Aug-2014,500.0
9,283.0,330.0,87.0,102.0,9.0,3.9,1011.3,0.0,SE,0.4,7-Mar-2016,4400.0
2,70.0,70.0,5.0,94.0,83.0,25.7,992.7,0.0,NE,0.9,13-Jul-2016,800.0
18,23.0,24.0,2.0,41.0,14.0,2.4,1020.4,0.0,NE,2.5,20-Nov-2017,800.0
18,84.0,102.0,2.0,46.0,166.0,24.6,1008.9,0.0,W,1.1,29-Aug-2015,700.0
8,29.0,39.0,24.0,51.0,1.4994,12.2,1020.8,0.0,N,1.6,29-Oct-2014,800.0
2,35.0,35.0,2.0,7.0,142.0,22.5,999.8,0.0,NW,1.8,1-Jun-2015,600.0
17,3.0,17.0,6.0,40.0,31.0,14.6,1017.1,0.0,NE,3.9,19-Oct-2014,300.0
12,98.0,98.0,8.0,74.0,120.0,31.8,1002.3,0.0,SSW,2.1,8-Aug-2015,1200.0
22,116.0,121.0,2.0,74.0,3.0,5.1,1020.2,0.0,SW,2.0,9-Nov-2016,1700.0
8,27.0,141.0,3.0,34.0,21.0,29.1,992.1,0.0,W,0.5,29-Jul-2014,700.0
9,15.0,83.0,2.0,7.0,99.0,27.3,1005.2,0.0,NW,5.8,2-Jun-2016,200.0
18,179.0,188.0,33.0,105.0,3.0,-0.6,1019.8,0.0,ENE,2.4,28-Nov-2016,3500.0
18,236.0,275.0,79.0,107.0,9.0,2.3,1021.5,0.0,W,0.8,21-Feb-2015,2300.0
23,92.0,129.0,2.0,58.0,98.0,25.9,999.2,0.0,N,0.8,28-Jul-2016,900.0
16,205.0,240.0,84.0,89.0,81.0,11.0,1007.7,0.0,E,1.1,15-Mar-2014,1700.0
13,61.0,62.0,7.0,16.0,169.0,30.0,1001.6,0.0,ESE,2.4,10-Jul-2016,700.0
20,28.0,67.0,2.0,48.0,50.0,18.7,1007.7,0.0,NE,1.3,27-Sep-2015,600.0
0,30.0,72.0,2.0,103.0,9.0,19.2,1008.6,0.0,W,1.1,7-Sep-2016,900.0
10,75.0,96.0,53.0,57.0,23.0,-1.3,1024.5,0.0,SE,1.3,18-Feb-2015,1500.0
4,75.0,75.0,2.0,51.0,30.0,20.6,1003.0,0.0,SW,0.6,21-Jun-2015,600.0
12,17.0,36.0,16.0,20.0,91.0,31.4,998.5,0.0,SSW,1.7,28-Aug-2016,400.0
13,67.0,67.0,2.0,6.0,136.0,28.7,994.9,0.0,SW,1.3,22-Jul-2016,400.0
16,9.0,30.0,9.0,6.0,56.0,0.5,1027.6,0.0,NNW,3.3,26-Dec-2014,400.0
21,63.0,105.0,9.0,75.0,37.9134,15.2,1005.6,0.0,N,2.1,26-Sep-2014,1222.923
0,121.0,136.0,24.0,85.0,2.0,-5.7,1018.8,0.0,NNW,0.9,31-Dec-2017,3000.0
19,22.0,46.0,4.0,43.0,142.0,31.4,1003.6,0.0,ESE,1.2,10-Aug-2016,700.0
15,28.0,28.0,2.0,29.0,36.0,10.7,1009.6,0.3,NNW,1.2,9-May-2016,700.0
13,28.0,51.0,11.0,22.0,88.0,25.4,1004.6,0.0,SSE,3.0,30-Mar-2015,400.0
9,25.0,25.0,3.0,21.0,21.0,9.1,1021.8,0.0,N,3.3,28-Oct-2017,100.0
8,24.0,24.0,2.0,46.0,35.0,24.6,1003.0,0.0,E,0.8,22-Aug-2015,600.0
1,50.0,76.0,10.0,38.0,27.0,-1.0,1021.0,0.0,E,2.0,28-Feb-2016,1000.0
18,127.0,201.0,3.0,39.0,161.0,27.1,1000.4,0.0,W,2.1,7-Sep-2015,1100.0
10,190.0,234.0,74.0,78.0,51.0,23.2,1012.7,0.0,SSW,1.1,5-May-2014,1300.0
4,13.0,22.0,2.0,28.0,67.0,19.1,1004.6,0.0,ENE,0.3,26-Aug-2015,400.0
7,166.0,188.0,7.0,68.0,2.0,6.6,1014.9,0.0,ENE,1.8,13-Nov-2016,3000.0
23,142.0,187.0,2.0,58.0,95.0,23.8,1003.1,0.0,SSE,0.0,6-Sep-2015,800.0
4,46.0,76.0,4.0,23.0,61.0,12.1,995.8,0.0,W,1.2,5-May-2016,500.0
13,82.0,99.0,46.0,61.0,24.0,4.0,1012.0,0.0,ENE,1.2,20-Jan-2016,1600.0
4,18.0,53.0,7.0,34.0,50.0,4.4,1008.3,0.0,NW,2.5,18-Feb-2017,600.0
1,217.0,217.0,14.0,98.0,2.0,-2.1,1018.7,0.0,NW,1.6,15-Feb-2018,3100.0
11,57.0,66.0,32.0,47.0,8.3538,0.7,1024.7,0.0,NE,1.8,16-Dec-2014,1222.923
16,,55.0,2.2848,15.1922,218.2698,32.6,987.6,0.0,NNE,1.4,27-Jun-2014,1222.923
15,154.0,183.0,84.0,98.0,15.0,-3.9,1029.2,0.0,ESE,1.7,20-Jan-2017,4600.0
2,52.0,63.0,22.0,59.0,33.0,17.2,1005.5,0.0,S,0.9,9-May-2014,500.0
13,75.0,70.0,55.0,48.0,40.0,1.1,1023.6,0.0,SW,3.0,18-Feb-2015,1100.0
16,34.0,68.0,20.0,51.0,40.0,14.1,1026.0,0.0,NNW,2.4,21-Nov-2015,800.0
12,63.0,101.0,35.0,55.0,21.0,0.7,1021.0,0.0,E,2.2,17-Dec-2015,1300.0
20,290.0,314.0,15.0,135.0,42.0,12.1,1000.8,0.0,SSE,0.7,17-Mar-2017,2500.0
17,22.0,57.0,5.0,47.0,47.0,16.7,1010.4,0.6,SSW,1.7,30-Sep-2016,700.0
17,41.0,98.0,2.0,11.0,103.0,29.7,982.4,0.0,NNW,2.9,12-May-2016,300.0
7,17.0,25.0,22.848000000000003,29.1526,16.065,-7.3,1025.3,0.0,NE,1.9,19-Dec-2014,1222.923
5,164.0,168.0,98.0,88.0,2.0,-2.2,1017.0,0.0,WNW,0.8,3-Mar-2015,3700.0
23,5.0,34.0,2.0,18.0,81.0,22.2,992.6,0.0,N,0.9,27-May-2015,300.0
10,29.0,47.0,30.0,50.0,30.0,10.4,1017.6,0.0,W,1.2,13-Mar-2015,900.0
15,,,17.0,39.0,122.0,25.8,992.8,0.0,SSE,2.7,5-May-2017,1222.923
0,102.0,107.0,10.0,56.0,5.0,4.5,1021.0,0.0,S,1.7,19-Nov-2016,1300.0
18,50.0,63.0,6.0,27.0,204.0,27.7,1004.5,0.0,S,2.8,22-May-2017,700.0
16,12.0,15.0,2.0,4.0,94.0,27.8,990.1,0.0,S,3.2,30-Jun-2016,100.0
11,39.0,70.0,43.0,58.0,10.0,2.0,1028.6,0.0,NE,3.3,20-Dec-2014,1200.0
12,9.0,25.0,4.0,45.0,7.0,16.6,1011.2,0.0,NW,1.8,23-Sep-2014,400.0
2,28.0,34.0,2.0,12.0,54.0,24.5,998.4,0.0,NW,0.7,1-Aug-2016,400.0
22,433.0,433.0,12.0,201.0,3.0,1.2,1020.1,0.0,SW,0.2,21-Dec-2017,7700.0
8,54.0,19.0,1.0,20.0,38.0,23.1,1009.6,0.0,W,0.8,7-Sep-2014,800.0
23,143.0,196.0,17.0,54.0,100.0,20.3,1003.7,0.0,SW,0.9,17-May-2014,1000.0
18,19.0,24.0,9.0,41.0,48.0,0.7,1025.6,0.0,NNW,3.1,4-Jan-2017,700.0
0,13.0,81.0,6.0,52.0,19.7064,11.7,998.4,0.0,SW,0.6,20-May-2014,300.0
16,30.0,51.0,17.0,45.0,76.0,24.1,1003.9,0.0,SW,1.7,16-Sep-2014,700.0
19,156.0,238.0,17.0,146.0,2.0,3.5,1021.3,0.0,SSW,0.5,23-Nov-2015,3100.0
13,23.0,23.0,2.0,15.0,82.0,19.0,995.3,0.1,NNW,1.9,13-Jun-2017,400.0
8,332.0,332.0,5.0,91.0,2.0,14.7,1015.2,0.0,ENE,1.2,9-Oct-2015,2000.0
19,172.0,213.0,24.0,121.0,2.0,3.3,1021.0,0.0,N,1.1,25-Nov-2015,3100.0
19,,74.0,2.0,39.0,221.0,30.6,996.1,0.0,SSE,2.7,25-Jul-2015,800.0
23,365.0,501.0,12.0,117.0,2.0,-2.9,1018.2,0.0,N,0.9,22-Dec-2016,8700.0
15,55.0,55.0,2.0,8.0,131.0,28.8,1009.5,0.0,WNW,4.3,20-May-2016,200.0
18,14.0,15.0,2.0,10.0,87.0,8.1,1019.3,0.0,NE,2.6,12-Apr-2016,300.0
8,4.0,38.0,3.0,33.0,23.0,16.5,1006.2,0.0,ESE,0.6,26-Sep-2016,600.0
7,14.0,17.0,7.0,24.0,47.0,-9.3,1025.8,0.0,NNW,1.4,12-Jan-2017,600.0
0,56.0,69.0,1.0,34.0,75.0,19.0,1006.8,0.0,N,1.2,22-Sep-2014,800.0
17,18.0,5.0,10.0,12.0,78.0,6.7,1021.4,0.0,ENE,1.4,27-Feb-2015,400.0
16,80.0,106.0,18.0,56.0,29.0,-2.26,1021.0,0.0,,0.1,15-Jan-2018,900.0
20,98.0,127.0,8.0,124.0,2.0,5.0,1017.0,0.0,WNW,0.5,10-Nov-2015,1500.0
0,40.0,28.0,3.0,8.0,101.0,23.7,990.2,0.0,NNW,1.8,24-Jul-2014,600.0
16,21.0,39.0,2.0,30.0,60.0,20.5,1007.2,0.2,NE,1.2,19-Jun-2016,600.0
21,71.0,135.0,4.0,32.0,144.0,30.6,996.1,0.0,NE,1.0,12-Aug-2016,700.0
5,13.0,13.0,2.0,20.0,43.0,2.1,1014.7,0.0,WNW,4.5,22-Dec-2017,700.0
21,11.0,11.0,5.0,34.0,29.0,-1.6,1020.0,0.0,WSW,2.5,15-Dec-2016,600.0
2,73.0,156.0,10.0,111.0,2.0,16.3,1011.1,0.0,ENE,1.3,28-Sep-2015,1500.0
0,36.0,108.0,8.0,98.0,2.0,2.3,1013.4,0.0,NE,0.8,11-Apr-2014,1200.0
19,68.0,173.0,2.0,26.0,216.0,27.6,997.2,0.0,E,1.8,20-Jun-2017,800.0
7,6.0,11.0,4.0,13.0,55.0,-7.0333333333333306,1027.0,0.0,NE,1.9,22-Jan-2018,500.0
22,22.0,41.0,2.0,34.0,72.0,19.5,1006.9,0.0,NW,1.1,13-Sep-2016,600.0
21,16.0,27.0,7.0,20.0,42.0,19.6,1003.2,0.0,N,1.1,30-Aug-2014,400.0
